"9 Digit Style #","Style Description","Color Description","Cost","P","Margin=(P-c)/P","@60% Margin, Price=(Cost/.4)","Selling Price Point @60%margin"
834570,"Longsleeve Sheer Popover Shirt","CARMEL",8.98,59.95,85.00%,"$32.07",33
836613,"Maxy Print Dress","CHINO",19.95,98.95,80.00%,"$57.00",57
834577,"Sleeveless Loop Tie Top","CHINO GREY 92027",8.92,59.95,85.00%,"$31.86",32
838949,"Straw Tote w Sequin Straps","LINEN",16.72,49.95,67.00%,"$33.44",34
831699,"SS Tie-Front Cardigan","CARMEL",8.87,54.95,84.00%,"$31.68",32
841377,"Striped Maxi Dress ","CHINO",19.22,69.95,73.00%,"$48.05",49
830989,"Cuffed Shorts","CHINO GREY 92027",9.99,39.95,75.00%,"$24.98",25
830990,"Garment Dye Cuffed Shorts","CHINO",11.06,39.95,72.00%,"$27.65",28
831664,"Slinky Ribbed Cardigan ","CHINO BLACK",11.51,54.95,79.00%,"$28.78",29
834593,"Sleeveless Ikat Print Top","LIGHT ASPHALT",9.84,54.95,82.00%,"$24.60",25
831702,"Crochet Open Cardigan","CHINO",16.87,69.95,76.00%,"$48.20",49
840452001,"Bobble Stripe Scarf","CHINO BLACK",7.46,29.95,75.00%,"$18.65",19
839801,"Skinny Gladiator Sandal ","CHINO ACORN",16.65,44.95,63.00%,"$33.30",34
834076,"Spray-Dye Tee","CHINO STONE",3.88,19.95,81.00%,"$11.09",12
839054,"U-Neck Stripe Tee","CHINO STONE",4.14,19.95,79.00%,"$11.83",12
