9 Digit Style #,Style Description,Color Description,Cost,P,Margin=(P-c)/P,"@60% Margin, Price=(Cost/.4)",Selling Price Point @60%margin
834570,LS 2Pkt Sheer Popover,CARMEL,8.98,59.95,85%,$32.07 ,$33
836613,SL Ruched Front Maxi print dress,CHINO,19.95,98.95,80%,$57.00 ,$57
834577,SL Loop Tie Top,CHINO GREY 92027,8.92,59.95,85%,$31.86 ,$32
838949,Straw Tote w Sequin Straps,LINEN,16.72,49.95,67%,$33.44 ,$34
831699,SS Tie-Front Cardigan,CARMEL,8.87,54.95,84%,$31.68 ,$32
841377,Striped Maxi Dress ,CHINO,19.22,69.95,73%,$48.05 ,$49
830989,Roll-Up Short Piece Dyed ,CHINO GREY 92027,9.99,39.95,75%,$24.98 ,$25
830990,Roll-Up Short Garment Dyed ,CHINO,11.06,39.95,72%,$27.65 ,$28
831664,Slinky Ribbed Cardigan ,CHINO BLACK,11.51,54.95,79%,$28.78 ,$29
831702,Geo Crochet Open 3rd Piece,LIGHT ASPHALT,16.87,69.95,76%,$48.20 ,$49
839359,Watercolor Print Scarf,CHINO,7.46,29.95,75%,$18.65 ,$19
839801,Skinny Gladiator Sandal ,CHINO BLACK,16.65,44.95,63%,$33.30 ,$34
834076,SS SPRAY UNECK ,CHINO ACORN,3.88,19.95,81%,$11.09 ,$12
839054,SS UNECK STRIPE-,CHINO STONE,4.14,19.95,79%,$11.83 ,$12
